model,sweep_param,sweep_value,skew_RMSE
stan_collapsed_variationalbayes_meanfield,D,25,0.0978977695194158
mongrel_cholesky,D,25,0.0827153774414934
mongrel_cholesky_MAP,D,25,0.0827153774414934
conjugate_linear_model,D,25,0.0875786671839924
stan_uncollapsed,D,25,0.0951253676526336
stan_collapsed_variationalbayes_meanfield,D,25,0.0713261795646908
mongrel_cholesky,D,25,0.0808533925271431
mongrel_cholesky_MAP,D,25,0.0808533925271431
conjugate_linear_model,D,25,0.0837289866913582
stan_uncollapsed,D,25,0.0918122244274144
stan_collapsed_variationalbayes_meanfield,D,25,0.0833807379581625
mongrel_cholesky,D,25,0.0775654426724841
mongrel_cholesky_MAP,D,25,0.0775654426724841
conjugate_linear_model,D,25,0.0750947218186035
stan_collapsed,D,50,0
stan_uncollapsed,D,50,0.0989227585060027
stan_collapsed_variationalbayes_meanfield,D,50,0.100635387723931
mongrel_cholesky,D,50,0.0852411814843015
mongrel_cholesky_MAP,D,50,0.0852411814843015
conjugate_linear_model,D,50,0.0944135079973141
stan_uncollapsed,D,50,0.122753846756176
stan_collapsed_variationalbayes_meanfield,D,50,0.092117562074724
mongrel_cholesky,D,50,0.0970191551759573
mongrel_cholesky_MAP,D,50,0.0970191551759573
conjugate_linear_model,D,50,0.103551705155952
stan_uncollapsed,D,50,0.104860388776237
stan_collapsed_variationalbayes_meanfield,D,50,0.116790145394334
mongrel_cholesky,D,50,0.100848441107834
mongrel_cholesky_MAP,D,50,0.100848441107834
conjugate_linear_model,D,50,0.0941666746483255
stan_collapsed,D,75,0
stan_uncollapsed,D,75,0.0930910323711068
stan_collapsed_variationalbayes_meanfield,D,75,0.0861402181564715
mongrel_cholesky,D,75,0.0891348679600173
mongrel_cholesky_MAP,D,75,0.0891348679600173
conjugate_linear_model,D,75,0.0979571116812526
stan_uncollapsed,D,75,0.0957014230121141
stan_collapsed_variationalbayes_meanfield,D,75,0.103998454781413
mongrel_cholesky,D,75,0.0942286590983121
mongrel_cholesky_MAP,D,75,0.0942286590983121
conjugate_linear_model,D,75,0.0958015753305484
