model,sweep_param,sweep_value,sd_RMSE
mongrel_cholesky,Q,2,0.00123591241545315
mongrel_cholesky_MAP,Q,2,0.0011692804736203
conjugate_linear_model,Q,2,0.00336415319201248
stan_uncollapsed,Q,2,0.00147160823834413
stan_collapsed_variationalbayes_meanfield,Q,2,0.00767261537547409
mongrel_cholesky,Q,2,0.00156426527903501
mongrel_cholesky_MAP,Q,2,0.00145679758524979
conjugate_linear_model,Q,2,0.00417591832554774
stan_uncollapsed,Q,2,0.00194733266766223
stan_collapsed_variationalbayes_meanfield,Q,2,0.00607702085167666
mongrel_cholesky,Q,2,0.00137647554069979
mongrel_cholesky_MAP,Q,2,0.00115815946451262
conjugate_linear_model,Q,2,0.0029470193982713
stan_collapsed,Q,4,0
stan_uncollapsed,Q,4,0.0025059704898162
stan_collapsed_variationalbayes_meanfield,Q,4,0.0129815256014736
mongrel_cholesky,Q,4,0.00253293680450061
mongrel_cholesky_MAP,Q,4,0.00252014119033893
conjugate_linear_model,Q,4,0.0081718136780267
stan_uncollapsed,Q,4,0.00213980063328758
stan_collapsed_variationalbayes_meanfield,Q,4,0.00841565725632883
mongrel_cholesky,Q,4,0.00187701254834281
mongrel_cholesky_MAP,Q,4,0.00198419349947444
conjugate_linear_model,Q,4,0.0130713340416843
stan_uncollapsed,Q,4,0.00350674046463467
stan_collapsed_variationalbayes_meanfield,Q,4,0.0157591508292453
mongrel_cholesky,Q,4,0.00283045510999317
mongrel_cholesky_MAP,Q,4,0.00284168963058617
conjugate_linear_model,Q,4,0.0186764432895932
stan_collapsed,Q,10,0
stan_uncollapsed,Q,10,0.00671319307239414
stan_collapsed_variationalbayes_meanfield,Q,10,0.0177132324960307
mongrel_cholesky,Q,10,0.00858626717398389
mongrel_cholesky_MAP,Q,10,0.00845646318383601
conjugate_linear_model,Q,10,0.0298346590324497
stan_uncollapsed,Q,10,0.0068017212088087
stan_collapsed_variationalbayes_meanfield,Q,10,0.0126329546692065
mongrel_cholesky,Q,10,0.00999534906942551
mongrel_cholesky_MAP,Q,10,0.00987627829495448
conjugate_linear_model,Q,10,0.0296756060256469
stan_uncollapsed,Q,10,0.00690618377622278
stan_collapsed_variationalbayes_meanfield,Q,10,0.0137253407595961
mongrel_cholesky,Q,10,0.00979953403862939
mongrel_cholesky_MAP,Q,10,0.00975382577590338
conjugate_linear_model,Q,10,0.0346148838556926
stan_collapsed,Q,20,0
stan_uncollapsed,Q,20,0.0203946746310812
