model,ESS,burnin_runtime,sample_runtime,Timer_HessianCalculation,Timer_LaplaceApproximation,Timer_Optimization,Timer_Overall,Timer_Uncollapse_Overall.Overall,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
stan_collapsed,362.651828489181,2532.41,2162.07,0,0,0,0,0,N,250,4000,2000,0.107333333333333,0.00207102827694555,0.0758620689655172,1
stan_collapsed,400.569276842148,2281.8,2366.74,0,0,0,0,0,N,250,4000,2000,0.0652,0.00170521975149466,0.0620689655172414,2
stan_collapsed,438.540204447957,2817.53,2182.81,0,0,0,0,0,N,250,4000,2000,0.122266666666667,0.00253236602453897,0.0620689655172414,3
stan_collapsed,209.255337407168,20122.1,13891.4,0,0,0,0,0,N,500,4000,2000,0.157,0.00116490365475986,0.0482758620689655,1
stan_collapsed,123.653130860649,22561.3,18427,0,0,0,0,0,N,500,4000,2000,0.159866666666667,0.00200822842349364,0.131034482758621,2
stan_collapsed,179.133992860172,22833.7,16725,0,0,0,0,0,N,500,4000,2000,0.124066666666667,0.00113099538026305,0.0413793103448276,3
stan_collapsed,108.629035074803,72522.3,47875.1,0,0,0,0,0,N,750,4000,2000,0.149511111111111,0.000860349214123102,0.0758620689655172,1
stan_collapsed,212.655234968861,62253,45531.8,0,0,0,0,0,N,750,4000,2000,0.0973333333333333,0.000525765697649642,0.00689655172413793,2
stan_collapsed,395.844747591333,63721.4,50569,0,0,0,0,0,N,750,4000,2000,0.0747555555555556,0.000550902849633164,0.0551724137931034,3
mongrel_eigen,4000,0,1.53920221328735,0.000283197,0.097359858,0.015049584,1.212895443,0.836535497,N,3,4000,0,0.0444444444444444,0.614059478250177,0.351724137931034,1
mongrel_eigen,4000,0,1.67111015319824,0.000247533,0.109847998,0.014991261,1.30502965,0.863736326,N,3,4000,0,0.166666666666667,0.890329096361421,0.420689655172414,2
mongrel_eigen,4000,0,1.09614157676697,0.000215596,0.06602624,0.016761112,0.863994577,0.604008454,N,3,4000,0,0.0444444444444444,0.52247488900754,0.268965517241379,3
mongrel_eigen,4000,0,1.07986783981323,0.000379862,0.246767597,0.023297453,0.873230792,0.601030991,N,5,4000,0,0.0333333333333333,0.426907767088149,0.255172413793103,1
mongrel_eigen,4000,0,1.22474193572998,0.000498888,0.275314477,0.036383758,1.013330199,0.698973741,N,5,4000,0,0.186666666666667,0.700657541601318,0.4,2
mongrel_eigen,4000,0,1.11668372154236,0.000486546,0.24560901,0.023320565,0.932577645,0.661198287,N,5,4000,0,0.0533333333333333,0.480446031839239,0.241379310344828,3
mongrel_eigen,4000,0,1.51189112663269,0.00170404,0.497525676,0.033288828,1.293508604,0.757980982,N,10,4000,0,0.0333333333333333,0.147214626019292,0.179310344827586,1
mongrel_eigen,4000,0,1.48787117004395,0.001753657,0.466344034,0.091682698,1.280624495,0.717744061,N,10,4000,0,0.22,0.214833485261593,0.275862068965517,2
mongrel_eigen,4000,0,1.3473162651062,0.001777988,0.436077891,0.042947065,1.161073221,0.677817057,N,10,4000,0,0.0433333333333333,0.304761538466938,0.331034482758621,3
mongrel_eigen,4000,0,2.25836253166199,0.011713756,0.843824937,0.183076447,1.931703029,0.884552738,N,20,4000,0,0.07,0.0400941531751891,0.0275862068965517,1
mongrel_eigen,4000,0,2.02782654762268,0.015206188,0.87995625,0.207068678,1.691599766,0.581710846,N,20,4000,0,0.16,0.0516982032267761,0.131034482758621,2
mongrel_eigen,4000,0,1.88288187980652,0.007175006,0.824653084,0.161266549,1.561657512,0.560839155,N,20,4000,0,0.0566666666666667,0.0518678033121059,0.0758620689655172,3
mongrel_eigen,4000,0,3.33122849464417,0.015042123,1.754420941,0.409949312,2.954691126,0.594263393,N,30,4000,0,0.0644444444444444,0.027663298824677,0.0689655172413793,1
mongrel_eigen,4000,0,4.95478653907776,0.024517616,2.391459638,0.683458888,4.266036694,0.904768992,N,30,4000,0,0.14,0.0285414270479203,0.124137931034483,2
mongrel_eigen,4000,0,3.31437754631042,0.015819498,1.908754387,0.195203195,2.916046002,0.605788864,N,30,4000,0,0.0577777777777778,0.0306561948127457,0.0620689655172414,3
mongrel_eigen,4000,0,8.22331881523132,0.058264576,6.142666732,0.704502923,7.897261316,0.72249718,N,50,4000,0,0.0886666666666667,0.0177282920333086,0.131034482758621,1
mongrel_eigen,4000,0,9.76536321640015,0.064603455,7.26669811,1.097421622,9.499896237,0.82618851,N,50,4000,0,0.144,0.0176073309779094,0.158620689655172,2
mongrel_eigen,4000,0,7.99125194549561,0.058970572,6.098711546,0.754743622,7.761506483,0.631193729,N,50,4000,0,0.120666666666667,0.0178232282337936,0.103448275862069,3
mongrel_eigen,4000,0,105.064927816391,0.390199724,101.079211853,1.511401942,104.529155135,1.237014745,N,100,4000,0,0.114,0.00885906466301607,0.172413793103448,1
mongrel_eigen,4000,0,99.175843000412,0.38063437,95.09473669,1.575447724,98.701101533,1.351900353,N,100,4000,0,0.112333333333333,0.00592791909880265,0.0896551724137931,2
mongrel_eigen,4000,0,93.3218367099762,0.324185209,88.934087872,2.36684025,92.996334065,1.077266651,N,100,4000,0,0.143333333333333,0.00992503620578206,0.220689655172414,3
mongrel_eigen,4000,0,857.980978250504,1.962957692,709.815357238,144.783468653,857.699943695,0.812207115,N,250,4000,0,0.107333333333333,0.00224320780864642,0.124137931034483,1
mongrel_eigen,4000,0,816.750504732132,2.049315202,704.839442525,108.444167692,816.458415615,0.77625662,N,250,4000,0,0.0652,0.00192043101665665,0.110344827586207,2
mongrel_eigen,4000,0,922.029170751572,2.936025567,893.95193459,23.259846577,921.631800151,0.971752832,N,250,4000,0,0.122266666666667,0.00267655749407484,0.0758620689655172,3
mongrel_eigen,4000,0,7441.77805638313,13.009822943,7003.531533343,422.292127796,7441.131486371,1.163135555,N,500,4000,0,0.157,0.00137204919471711,0.0896551724137931,1
mongrel_eigen,4000,0,8936.96984887123,17.845148786,7817.143775869,1098.430702095,8936.043285307,1.154818508,N,500,4000,0,0.159866666666667,0.0029333243089771,0.386206896551724,2
mongrel_eigen,4000,0,7266.56495141983,11.832098039,6804.705649533,447.032145445,7265.82452774,1.153559287,N,500,4000,0,0.124066666666667,0.00141746674332592,0.16551724137931,3
mongrel_eigen,4000,0,26786.9291603565,34.248353922,26151.823606245,595.444865537,26785.738483603,2.034771089,N,750,4000,0,0.149511111111111,0.00165882349745272,0.351724137931034,1
mongrel_eigen,4000,0,27017.017159462,52.357366539,25647.923038286,1309.689873048,27015.195213729,2.012271555,N,750,4000,0,0.0973333333333333,0.000919645843400814,0.193103448275862,2
mongrel_eigen,4000,0,23686.5680785179,32.192925291,22702.193158616,947.234869087,23685.433217543,1.93999497,N,750,4000,0,0.0747555555555556,0.000747147811744352,0.186206896551724,3
mongrel_eigen,4000,0,50482.2355294228,38.52072555,48956.49605785,1460.662216032,50479.652425486,21.329773495,N,1000,4000,0,0.117166666666667,0.000921655875497925,0.317241379310345,1
mongrel_eigen,4000,0,59550.4435055256,57.063038835,57569.740091951,1915.876182304,59548.210494271,2.209811366,N,1000,4000,0,0.1126,0.00092383509522341,0.275862068965517,2
mongrel_eigen,4000,0,58632.898216486,57.441979123,57189.89956967,1378.001268373,58631.021564741,2.525345329,N,1000,4000,0,0.1003,0.000832211632426319,0.248275862068966,3
mongrel_cholesky,4000,0,1.10827946662903,0.000258048,0.05598552,0.01186633,0.855439735,0.593578892,N,3,4000,0,0.0444444444444444,0.614121151926091,0.331034482758621,1
mongrel_cholesky,4000,0,1.16850018501282,0.00030545,0.071021227,0.01804935,0.909447722,0.60184239,N,3,4000,0,0.166666666666667,0.889690694677757,0.427586206896552,2
mongrel_cholesky,4000,0,1.15430235862732,0.000306133,0.070569822,0.01989116,0.906176496,0.591587547,N,3,4000,0,0.0444444444444444,0.522721006404853,0.275862068965517,3
mongrel_cholesky,4000,0,1.14165115356445,0.000497058,0.267002056,0.020434195,0.894501818,0.604986643,N,5,4000,0,0.0333333333333333,0.427552072841568,0.255172413793103,1
mongrel_cholesky,4000,0,1.12619161605835,0.000422813,0.260998344,0.024795656,0.88469713,0.596680832,N,5,4000,0,0.186666666666667,0.701280098750335,0.413793103448276,2
mongrel_cholesky,4000,0,1.23687982559204,0.000428695,0.300425877,0.015910994,0.955676121,0.637008118,N,5,4000,0,0.0533333333333333,0.480778092110044,0.241379310344828,3
mongrel_cholesky,4000,0,1.58573532104492,0.002078895,0.521262095,0.028924168,1.340634869,0.784871789,N,10,4000,0,0.0333333333333333,0.147021956719208,0.16551724137931,1
mongrel_cholesky,4000,0,1.64038801193237,0.002126936,0.52180013,0.079898117,1.395619938,0.788326068,N,10,4000,0,0.22,0.214322447817353,0.282758620689655,2
mongrel_cholesky,4000,0,1.60363221168518,0.002038468,0.518485363,0.038042259,1.361223085,0.799426044,N,10,4000,0,0.0433333333333333,0.305258601823455,0.337931034482759,3
mongrel_cholesky,4000,0,1.95944261550903,0.012919924,0.723043099,0.161260118,1.52041151,0.613236727,N,20,4000,0,0.07,0.0400443149298225,0.0275862068965517,1
mongrel_cholesky,4000,0,1.99640464782715,0.008550619,0.734247358,0.17423386,1.544534956,0.618365398,N,20,4000,0,0.16,0.0518634705061259,0.131034482758621,2
mongrel_cholesky,4000,0,1.94792175292969,0.012993945,0.722363341,0.149901095,1.508862037,0.614040236,N,20,4000,0,0.0566666666666667,0.0518689700638859,0.0827586206896552,3
mongrel_cholesky,4000,0,2.71180367469788,0.01735674,0.989761805,0.381469048,2.253480608,0.636967979,N,30,4000,0,0.0644444444444444,0.0276018050905292,0.0689655172413793,1
mongrel_cholesky,4000,0,2.90154910087585,0.016559301,1.053449775,0.388592273,2.380433105,0.661011947,N,30,4000,0,0.14,0.0285674136460183,0.117241379310345,2
mongrel_cholesky,4000,0,2.51392579078674,0.016495081,0.989802692,0.194735589,2.057320688,0.628596755,N,30,4000,0,0.0577777777777778,0.030614657991937,0.0620689655172414,3
mongrel_cholesky,4000,0,3.62842702865601,0.056821689,1.772866899,0.661603741,3.372390041,0.644731586,N,50,4000,0,0.0886666666666667,0.0177315470050297,0.117241379310345,1
mongrel_cholesky,4000,0,3.75960564613342,0.060468113,1.784057591,0.756360694,3.498145754,0.65348995,N,50,4000,0,0.144,0.0174635210903139,0.158620689655172,2
mongrel_cholesky,4000,0,3.58189582824707,0.058091614,1.7684263,0.62040793,3.326310033,0.644168851,N,50,4000,0,0.120666666666667,0.0177332790529855,0.096551724137931,3
mongrel_cholesky,4000,0,8.15362644195557,0.398925242,5.230671828,1.40239406,7.867229909,0.556411579,N,100,4000,0,0.114,0.00890311971490831,0.158620689655172,1
mongrel_cholesky,4000,0,8.53251051902771,0.411101484,5.356600664,1.509072495,8.180574661,0.560702622,N,100,4000,0,0.112333333333333,0.00591556262744938,0.110344827586207,2
mongrel_cholesky,4000,0,8.8478901386261,0.412721471,5.352735646,1.831974934,8.496048584,0.556630717,N,100,4000,0,0.143333333333333,0.0099511526024999,0.206896551724138,3
mongrel_cholesky,4000,0,62.4618363380432,2.970931844,33.060947371,24.761252506,62.116204254,0.837958135,N,250,4000,0,0.107333333333333,0.00223731064670699,0.110344827586207,1
mongrel_cholesky,4000,0,57.545361995697,2.917956808,33.064612916,19.896343887,57.20400799,0.846008356,N,250,4000,0,0.0652,0.00192591033279558,0.103448275862069,2
mongrel_cholesky,4000,0,56.2338654994965,2.927258485,33.049314291,18.575529198,55.892034437,0.859467397,N,250,4000,0,0.122266666666667,0.002682280924972,0.0896551724137931,3
mongrel_cholesky,4000,0,549.355202198029,12.187187197,171.275629024,363.02028972,548.767322805,1.154716552,N,500,4000,0,0.157,0.00137199065707838,0.0896551724137931,1
mongrel_cholesky,4000,0,537.416151046753,11.78494018,169.392833924,353.435843692,536.837972486,1.136427025,N,500,4000,0,0.159866666666667,0.00292679859882965,0.393103448275862,2
mongrel_cholesky,4000,0,599.80682516098,12.18146604,170.811211571,413.846872575,599.179655125,1.173812295,N,500,4000,0,0.124066666666667,0.00140448942853126,0.158620689655172,3
mongrel_cholesky,4000,0,1091.05602765083,36.750393616,481.608547575,567.329393879,1089.9175127,1.913831463,N,750,4000,0,0.149511111111111,0.00164719322152109,0.344827586206897,1
mongrel_cholesky,4000,0,958.726191520691,33.076358812,481.537070265,438.828988729,957.59828044,1.884799283,N,750,4000,0,0.0973333333333333,0.000916280999754098,0.186206896551724,2
mongrel_cholesky,4000,0,991.472621917725,35.385151081,483.564309184,467.116448522,990.317925958,1.942400925,N,750,4000,0,0.0747555555555556,0.000751390375485444,0.213793103448276,3
mongrel_cholesky,4000,0,1785.98954415321,55.142988997,1024.16004917,699.292037663,1784.267179802,2.263340908,N,1000,4000,0,0.117166666666667,0.000919440731274022,0.310344827586207,1
mongrel_cholesky,4000,0,1745.85872149467,57.750757321,1030.230161839,649.952873868,1744.130099887,2.590233872,N,1000,4000,0,0.1126,0.000918681487986585,0.262068965517241,2
mongrel_cholesky,4000,0,1859.34390091896,55.158157952,1077.599582522,718.433333393,1857.554714539,2.951335352,N,1000,4000,0,0.1003,0.000834684911512694,0.248275862068966,3
conjugate_linear_model,2000,0,0.897968053817749,0,0,0,0,0,N,3,2000,0,0.0444444444444444,0.58066557927286,0.282758620689655,1
conjugate_linear_model,2000,0,0.571022033691406,0,0,0,0,0,N,3,2000,0,0.166666666666667,0.897471972901516,0.455172413793103,2
conjugate_linear_model,2000,0,0.459851741790771,0,0,0,0,0,N,3,2000,0,0.0444444444444444,0.499017390152818,0.255172413793103,3
conjugate_linear_model,2000,0,0.542745590209961,0,0,0,0,0,N,5,2000,0,0.0333333333333333,0.391437361558801,0.262068965517241,1
conjugate_linear_model,2000,0,0.625326633453369,0,0,0,0,0,N,5,2000,0,0.186666666666667,0.694311577342903,0.441379310344828,2
conjugate_linear_model,2000,0,0.465736389160156,0,0,0,0,0,N,5,2000,0,0.0533333333333333,0.446107238095487,0.206896551724138,3
