model,ESS,burnin_runtime,sample_runtime,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
Mongrel (eigendecomposition),4000,0,282.498245,D,50,4000,0,0.133,0.010121622,0.163265306,3
Mongrel (eigendecomposition),4000,0,967.6187656,D,75,4000,0,0.2012,0.010453777,0.091891892,1
Mongrel (eigendecomposition),4000,0,1215.821905,D,75,4000,0,0.189333333,0.0128319,0.197297297,2
Mongrel (eigendecomposition),4000,0,952.1422634,D,75,4000,0,0.1644,0.01929566,0.42972973,3
Mongrel (eigendecomposition),4000,0,2464.224084,D,100,4000,0,0.2258,0.017417514,0.21010101,1
Mongrel (eigendecomposition),4000,0,2338.273914,D,100,4000,0,0.2108,0.010258206,0.111111111,2
Mongrel (eigendecomposition),4000,0,2225.852206,D,100,4000,0,0.19,0.016410471,0.317171717,3
Mongrel (eigendecomposition),4000,0,39197.15257,D,250,4000,0,0.32712,0.022345899,0.161445783,1
Mongrel (eigendecomposition),4000,0,38296.34345,D,250,4000,0,0.33716,0.020640978,0.152610442,2
Mongrel (eigendecomposition),4000,0,40518.71966,D,250,4000,0,0.30132,0.019035091,0.17751004,3
Mongrel (Cholesky),4000,0,0.428709745,D,3,4000,0,0,0.003812241,0.1,1
Mongrel (Cholesky),4000,0,0.421086788,D,3,4000,0,0.01,0.005484753,0.1,2
Mongrel (Cholesky),4000,0,0.559497356,D,3,4000,0,0,0.005987816,0,3
Mongrel (Cholesky),4000,0,0.970894098,D,5,4000,0,0.008,0.002479329,0,1
Mongrel (Cholesky),4000,0,1.699018478,D,5,4000,0,0.022,0.005378614,0.05,2
Mongrel (Cholesky),4000,0,0.912109852,D,5,4000,0,0.02,0.00222991,0,3
Mongrel (Cholesky),4000,0,3.328001738,D,10,4000,0,0.023,0.004463651,0.022222222,1
Mongrel (Cholesky),4000,0,1.97607851,D,10,4000,0,0.031,0.003870792,0.044444444,2
Mongrel (Cholesky),4000,0,3.527987003,D,10,4000,0,0.026,0.003838144,0.022222222,3
Mongrel (Cholesky),4000,0,6.168851376,D,25,4000,0,0.1296,0.009965633,0.15,1
Mongrel (Cholesky),4000,0,15.02026129,D,25,4000,0,0.094,0.006862333,0.125,2
Mongrel (Cholesky),4000,0,12.59044957,D,25,4000,0,0.1116,0.00620223,0.083333333,3
Mongrel (Cholesky),4000,0,25.17749143,D,50,4000,0,0.1444,0.009645712,0.142857143,1
Mongrel (Cholesky),4000,0,167.3621449,D,50,4000,0,0.1314,0.008051483,0.175510204,2
Mongrel (Cholesky),4000,0,25.14925551,D,50,4000,0,0.133,0.010036921,0.167346939,3
Mongrel (Cholesky),4000,0,356.5002172,D,75,4000,0,0.2012,0.010496188,0.091891892,1
Mongrel (Cholesky),4000,0,52.75356054,D,75,4000,0,0.189333333,0.012841635,0.205405405,2
Mongrel (Cholesky),4000,0,333.1566806,D,75,4000,0,0.1644,0.019331927,0.42972973,3
Mongrel (Cholesky),4000,0,104.3310583,D,100,4000,0,0.2258,0.017519704,0.202020202,1
Mongrel (Cholesky),4000,0,121.3288352,D,100,4000,0,0.2108,0.010220234,0.109090909,2
Mongrel (Cholesky),4000,0,107.616585,D,100,4000,0,0.19,0.016550684,0.315151515,3
Mongrel (Cholesky),4000,0,1794.188712,D,250,4000,0,0.32712,0.022317243,0.159036145,1
Mongrel (Cholesky),4000,0,2975.419567,D,250,4000,0,0.33716,0.020637268,0.147791165,2
Mongrel (Cholesky),4000,0,3600.786004,D,250,4000,0,0.30132,0.019019362,0.178313253,3
Mongrel (Cholesky),4000,0,8557.26706,D,500,4000,0,0.42768,0.075643451,0.363527054,1
Mongrel (Cholesky),4000,0,8348.25029,D,500,4000,0,0.43942,0.038711343,0.220440882,2
Mongrel (Cholesky),4000,0,8365.606448,D,500,4000,0,0.4043,0.042931226,0.272945892,3
Stan (uncollapsed),339.4757852,197.19,87.8,Q,2,4000,2000,0.005333333,0.002993464,0,1
Stan (uncollapsed),523.2610163,258.47,327.72,Q,2,4000,2000,0.018333333,0.002916527,0.034482759,2
Stan (uncollapsed),408.6414903,228.53,177.3,Q,2,4000,2000,0.007333333,0.003786861,0.068965517,3
Stan (uncollapsed),287.4734325,375.88,168.33,Q,4,4000,2000,0.061,0.007347838,0.077586207,1
Stan (uncollapsed),365.2738234,417,218.06,Q,4,4000,2000,0.06,0.005551764,0.068965517,2
